actual_fuel_decile,observations,actual_fuel_min_l,actual_fuel_max_l,mean_actual_fuel_l,mean_physics_expected_fuel_l,mean_cace_expected_fuel_l
1,9,0.03000000,0.23000000,0.13666667,0.36572670,0.31597164
2,9,0.24000000,0.32000000,0.27666667,0.48778961,0.43619789
3,8,0.32000000,0.37000000,0.34875000,0.56119753,0.51091897
4,9,0.38000000,0.42000000,0.39888889,0.52117595,0.47871497
5,9,0.43000000,0.46000000,0.44222222,0.51318665,0.47290927
6,8,0.48000000,0.54000000,0.51125000,0.53815591,0.52501983
7,9,0.55000000,0.63000000,0.58444444,0.52115046,0.47855965
8,8,0.64000000,0.70000000,0.66500000,0.59856879,0.62075291
9,9,0.72000000,0.80000000,0.76444444,0.70200015,0.72909430
10,9,0.81000000,1.13000000,0.96000000,0.73282521,0.76899452
